,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
36,Research Scientist,$143K-$194K (Glassdoor est.),"Working at the intersection of hardware, software, and molecular science, we are committed to delivering on the promise of 3D printing, enabling commercial customers to go beyond basic prototyping to 3D manufacturing.
Our company is built on the idea that when diverse fields of study come together, we are able to solve challenging problems. We have grand dreams to build technology that will influence industries around the world. You will be joining a diverse team with a dynamic culture, where team success is as important as celebrating individual contributions.
Help us change the world, and we will help you change yours.
We are looking for an research scientist to develop novel materials for our 3D printing platform. Materials are at the core of what we do. Our materials are used for applications such as prototyping, dental, biomedical, automotive, aerospace, footwear, investment casting, and many more. You will work as part of a cohesive and high-energy team, but also direct individual projects and have the freedom to execute as you see fit.
Responsibilities:
Draw on academic and patent literature to identify and evaluate new chemistries and formulation strategies to drive continued materials development
Synthesize new monomer and oligomers and evaluate performance both at the component and full formulation levels
Formulate, print and characterize new formulations
Analyze and communicate materials characterization data in a clear, organized manner and make recommendations that allow for informed decision-making
Collaborate with internal teams and customers to define key product requirements, interpret test results, and determine follow-up experiments, to support resin products through commercialization

Requirements:

Bachelors or Masters degree in Chemistry, Chemical Engineering, Polymer Sciences, or Materials Sciences and Engineering
Organized with good time-management skills
Ability to multitask
Experience analyzing and reporting on large data sets
Knowledge in polymer chemistry
Experience/understanding of material properties (mechanical and thermo-mechanical)
Technical writing skills
Eagerness to learn in a fast-paced environment

Preferred Requirements/Experience:

2+ years working in a laboratory setting or in an industrial role
Basic understanding of various polymeric materials (thermoplastics, thermosets, specialty polymers)
Basic understanding of various polymerization reactions and techniques
Any understanding or experiences with large scale production/manufacturing is a bonus
Safety conscious individual who actively promotes safe behavior in the department and takes responsibility for safe lab operations
You do not need to match every listed expectation to apply for this position. Here at Carbon, we know that diverse perspectives foster the innovation we need to be successful, and we are committed to building a team that encompasses a variety of backgrounds, experiences, and skills.",4.0,"Carbon3D
4.0","Redwood City, CA","Redwood City, CA",201 to 500 employees,2013,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
37,Sales Finance Data Analyst,$143K-$194K (Glassdoor est.),"Qualys is seeking a Sales Finance Data Analyst with strong experience in Anaplan (and other financial systems), data management and an interest in helping automate reporting and financial analysis. Responsibilities include establishing and maintaining Master Data standards and items within the Qualys systems and monitoring and validating the integrity of data as well as supporting corrective actions related to variances to standard. He/she will also help maintain systems and manage information used for financial administration and key financial metrics and reporting.

Qualys is the leading provider of Security and Compliance Cloud Software Solutions. The Qualys Cloud Platform and integrated suite of solutions helps businesses simplify security operations and lower the cost of compliance by delivering critical security intelligence on demand and automating the full spectrum of auditing, compliance and protection for IT systems and web applications.

Used by more than 9,300 customers, excluding security consulting firms, in over 100 countries, including a majority of the Forbes Global 100, the Qualys Cloud Platform performs more than 3 billion IP scans/audits a year resulting in over 1 trillion security events.

Minimum Requirements

* 2+ years of hands on experience in building Anaplan models and Anaplan administration supporting multiple business functions and users.

* High proficiency in Microsoft Excel; ability to understand and build automated Excel models from scratch; VBA, SQL and ODBC knowledge preferred

* 2+ years of experience with master data management in an ERP or CRM system; NetSuite and Salesforce preferred.

* Data organization and management skills. Technical expertise with data models, data import methodologies, database design development, and data mining; preferred experience with a BI tool

* Knowledge of Sales Finance (Revenue Forecasting and Reporting) and Sales Operations (Territory/Quota Management) functions preferred

* Bachelor’s degree in Computer Science or Accounting/Finance/Business or related field preferred

Responsibilities

* Implement, optimize, and maintain Anaplan and augment it with a separate data warehouse as needed

* Build and support complex Planning and Forecasting models using the Anaplan platform.

* Build Anaplan Visualizations

* Help set up and automate reporting and charting and analyze trends and patterns

* Create, maintain, monitor and analyze all master data in ERP & CRM and integrated solutions

* Ensure and enhance data quality and train users to ensure continuity of results

* Provide creative yet logical approaches to solving data problems

* Perform various levels of data validation across multiple systems

* Create and manage the data dictionary to support change management efforts

* Maintain policies and procedures to ensure uniform, accurate, and consistent data are present

* Provide testing support for upgrades and releases, including integration testing from various sources to target systems

* Assist in setting up hierarchies and maintain consistency across different systems

* Assist with data and analysis requests, providing detailed backups and explanations as needed

You are:

* An independent, self-motivated individual who works well under pressure with a positive, service-oriented attitude and a startup mindset of willing to do anything and everything

* Self-starter with a great work ethic and an analytical thinker with superior problem solving and decision making skills and ability to analyze and manipulate data; logical, process-based approach to problem solving with an ability to learn and apply new information

* Extremely detail-oriented and organized with prior experience having gathered, structured, monitored, and validated data to ensure data integrity and detailed documentation; has developed a habit of checking the accuracy of data and analysis several times over before submitting for review

* Excellent multi-tasker who is always “on it” with stellar time and project management skills; understands the importance of planning in advance to meet deadlines that include multiple review points and iterations

* Team player with strong interpersonal skills capable of working across functions to get buy-in on best practices

* Strong communicator, both written & verbal; reliable and responsive to email and phone communications",3.0,"Qualys
3.0","Foster City, CA","Foster City, CA",501 to 1000 employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"NortonLifeLock, McAfee, Verisign"
38,Data Engineer,$143K-$194K (Glassdoor est.),"About Rocket Lawyer
We believe everyone deserves access to simple and affordable legal services.

Founded in 2008, Rocket Lawyer is the largest and most widely used online legal service platform in the world. With offices in North America and Europe, Rocket Lawyer has helped over 20 million people create over 50 million legal documents, and get their legal questions answered.

We are in a unique position to enhance and expand the Rocket Lawyer platform to a scale never seen before in the company’s history, to capture audiences worldwide. We are expanding our team to take on this challenge!

About the Role
Rocket Lawyer is looking for a Data Engineer that will contribute in all aspects of creating an analytical data driven environment. The core data engineering team is responsible for the building out the data pipeline, gathering internal and external data, generating metrics, managing and monitoring batch and streaming jobs, and implementing analytical tools to drive strategic decision making.
A Day in the Life
Evangelize Modern Big Data Practices
Design warehouse schemas that accurately represent our business, and facilitate analysis and building of reports
Help build batch and streaming data ingestion pipeline using Hadoop, Hive, Pig, Storm, and Kafka Streams
Write ETL jobs to transform raw data into business information to drive decision making
Develop analytical environment using internal and external reporting tools
Integrate internal and external data with warehouse and external tools
Experience
Excellent technical skills including expert knowledge of the Hadoop ecosystem
Experience of the analysis, design and development of Data Warehouse and Big Data solutions, including analyzing source systems, developing ETL design patterns and templates, ETL development, data profiling and data quality issues resolution.
Project and team management experience
Excellent communication skills and presentation skills
Strong SQL, Java, and Python skills
Database (relational & NoSQL), Data Warehouse knowledge
Stream processing experience (Storm, Kafka Streams)
Passion and enthusiasm for learning new technologies and technique
Comfortable with Linux
BS or MS in computer science
Detail oriented and organized
Desire to learn broad set of technologies
Benefits and Perks
Comprehensive health plans (including Medical, Dental and Vision insurance for full-time employees)
Unlimited PTO
Competitive salary packages
401k program
Life insurance
Disability benefits
Flexible Spending Accounts
Commuter/Transit Program
Your choice of a MAC or PC
Monthly onsite masseuse sessions
Weekly Friday catered lunches
Company sponsored events, both on- and off-site",3.7,"Rocket Lawyer
3.7","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
39,UX Data Scientist (Python),$143K-$194K (Glassdoor est.),"JOB DESCRIPTION:
Summary
As the Data Scientist on the Experience Research Team you will bring the power of our data to our team.
The analytics you deliver will strategically advance how Client ideates, builds, measures, and improves its own products.
You will use your quantitative skills to analyze disparate user data sources (e.g., NPS, Social Media, Behavioral data, Product feedback, User reported data) to present comprehensive views of user experience.

What Success Looks Like in the Role
You inspire those around you to be obsessed with data and the stories you can tell. You love turning data into insights. You thrive when people take-action on the insights you provide. You work effectively cross-team and you understand the importance of building strong relationships and earning trust and credibility. You have successfully helped this organization harness the power to tell our own stories with our own data.
Ideal years of Experience: 3-5 years

Responsibilities
Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions to support our own programs.
Interacts with product and teams to identify questions and issues for data analysis and experiments.
Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources.
Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments.
Be an internal leader in basic statistics including descriptive statistics, correlation and regression.

Must have skillsets:
• 3+ years work experience
• Strong quantitative analytical skills; with statistical analysis competence in techniques such as correlation, regression, KPI metric development, segmentation modeling and algorithms
• Fluent in either Python or R, able to query data using SQL, has experience working with cloud based computing platforms and big data tools.
• Experience in data mining, advanced data manipulation, machine learning and statistical analysis.
• Experience with data visualization and communication projects using software like Tableau
• Strong verbal and written communication skills to present analysis and insights including trends and opportunities to stakeholders and the business
• Believes in eating one's own dog food and using that experience to drive the creation of exceptional customer facing products
• High standard of detail, excellence, professionalism, and role model behavior
• Master’s Degree in Business Analytics, Data Analytics, or Data Science, with a BA/BS in Economics, Finance, Management, Marketing or Social Science

CONTACT INFORMATION:
Alan Bui
Alan@OSIengineering.com
408-550-2800 x 106
OSIJOBS",4.5,"OSI Engineering
4.5","San Francisco, CA","Campbell, CA",51 to 200 employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
40,Scientist - Immuno-oncology,$143K-$194K (Glassdoor est.),"NGM Biopharmaceuticals, Inc. is a clinical stage biotech company dedicated to discovering and developing the next generation of medicines for the treatment of serious diseases. Our experienced scientific team has joined forces with an impressive group of industry professionals, Nobel Laureates and other distinguished researchers to build a company where innovation and cutting-edge science has provided the foundation for a robust drug discovery engine that has a track record of generating one new IND candidate per year. NGM’s current pipeline of clinical stage programs consists of six drug candidates targeting liver, metabolic, ophthalmic and oncologic diseases. The most advanced drug candidate, aldafermin (NGM282), is in Phase 2b clinical studies in non-alcoholic steatohepatitis (NASH) and is wholly-owned by NGM. NGM’s strategic collaboration with Merck, with a current term running to March 2022 at the earliest, provide us with the resources and flexibility to pursue our ambitious R&D goals and further extend our pipeline of novel drug candidates.

We are seeking an enthusiastic and motivated Ph.D. level scientist to join the Immune Oncology team. The successful candidate will be experienced in immunology and/or immune oncology, and will apply this knowledge to performing research on novel immune-related drug targets. Our team functions in a collaborative environment to propose and validate new targets, to develop potent novel therapeutics, and then to validate them in relevant preclinical models. We also interface with our preclinical development teams to support IND-enabling research.
Responsibilities
Employ modern research techniques to investigate the function of immune receptors and to support development and validation of novel therapeutics using in vitro and in vivo models.
Independently design, perform and troubleshoot experiments, analyze data, and present findings in a team-oriented setting.
Attend project team meetings and contribute to the general success of department projects.
Required Skills
Expertise in multi-parameter flow cytometry and other modern molecular biology, cell biology and immunological techniques (qPCR/ELISA/RNASeq/etc.)
Proficiency in tissue culture and primary immune cell assays. Experience in a BSL2 setting preferred.
Strong interpersonal, organization, time-management, and verbal and written communication skills
Willingness to take on new experimental challenges, and a capability of multitasking in a fast-paced R&D environment.
Strong self-motivation with a dedicated work ethic.
Required Experience
Ph.D. in immunology, or relevant life science, with laboratory experience using human cells/tissues and studying mouse models of disease.
Prior experience in myeloid cell biology preferred
NGM offers a creative, collaborative, highly challenging scientific environment, along with a strong compensation package that includes salary, stock options, 401(k) and a comprehensive benefits package.

Interested applicants should apply through the NGM Biopharmaceuticals website: https://www.ngmbio.com/open-positions/

Note to Recruitment Agencies: Please do not forward any agency résumés. NGM Bio is not responsible for any fees related to résumés that are unsolicited.",3.6,"Ngm Biopharmaceuticals
3.6","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
41,Sr. Data Engineer,$143K-$194K (Glassdoor est.),"Who we are:

MasterClass is transforming online education by enabling anyone in the world to learn from the very best. We are deconstructing what makes an actor able to cry on demand, how an athlete defies gravity, and what it takes to write a bestseller. Our online learning content is available to students anywhere anytime, which supports our mission to ignite the greatness in others.

We are a quickly growing VC-funded startup based in San Francisco, with additional offices in Los Angeles. We have created online classes taught by famous masters— Gordon Ramsay, Serena Williams, Neil deGrasse Tyson, Sara Blakely, David Sedaris, Bobbi Brown, Timbaland, Anna Wintour and many more to come.

Since launching in 2015, we have been growing our team. Apply now to find out more about what we are doing behind the scenes.

What we're looking for:

Data, and how they are used, play a central role at MasterClass and are at the heart of how we make business, product, content, and operational decisions. Our growing Analytics, Data Science, and Data Engineering teams sit at the core of the company and collaborate with a variety of departments to drive decisions and provide direction for future growth at MasterClass. The team tackles challenging problems across many technical disciplines, including time series forecasting, causal inference, optimization, and machine learning. We are looking for an exceptional Senior Data Engineer to help build our data platform to scale the business and enable our Analytics and Data organization in solving those challenges.

Responsibilities of the role:
Proactively drive the execution of our data engineering, business intelligence, and data warehouse roadmap
Understand and translate business needs into data models to support long-term, scalable, and reliable solutions
Create logical and physical data models using best practices to ensure high data quality and reduced redundancy
Drive data quality across the organization; develop best practices for standard naming conventions and coding practices to ensure consistency of data models and tracking
Define and manage SLA's for data sets and processes running in production
Continuously improve our data infrastructure and stay ahead of technology
Design a system for data backup in case of system failure
Build strong cross-functional partnerships with Data Scientists, Analysts, Product Managers and Software Engineers to understand data needs and deliver on those needs
Requirements:
4+ years of experience in Data Engineering and Data Warehousing
Bachelor's degree in a quantitative field, e.g. Computer Science, Math, Physics
Experience scaling data environments with distributed/RT systems and self-serve visualization environments
Advanced proficiency with SQL, Perl, Python, Postgres, REST/GraphQL
Experience designing and implementing cloud based and SaaS data warehouse (e.g. WS, Hadoop, NoSQL) and developing ETL/ELT pipelines
Experience integrating and building data platform in support of BI, Analytics, Data Science, and real-time applications
Strong communication skills, with the ability to initiate and drive projects proactively and accurately
Work full-time in our San Francisco office
Eligible to work in the United States legally
At MasterClass, we believe we put our best work forward when our employees bring together ideas that are diverse in thought. We are proud to be an equal opportunity workplace and are committed to equal employment opportunity regardless of race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or any other characteristic protected by applicable federal, state or local law. In addition, MasterClass will provide reasonable accommodations for qualified individuals with disabilities. If you have a disability or special need, we would like to know how we can better accommodate you.",3.9,"MasterClass
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
42,Senior Data Engineer,$143K-$194K (Glassdoor est.),"About Scoop

Scoop brings co-workers and neighbors together to enjoy a smooth carpooling experience—unlocking new opportunities to create friendships, improve their well-being, and make the most of their valuable time.

Learn more in Crunchbase: https://news.crunchbase.com/news/scoop-raises-60m-for-corporate-carpooling-as-gridlock-ruins-america/

Engineering @ Scoop

Few companies get to face such diverse technical challenges as Scoop, and we’ve built a team of people excited to face these challenges together while investing in each others’ growth.

Scoop’s engineering team may move bits and pixels, but we also put real, live human beings in cars together. We’re touching problems academics have written about for years, and have data that no other company has ever collected.

But Scoop knows engineering is not a lone discipline. We’re a small team with varied backgrounds: big companies, VC-backed startups, bootcamps, academia. We like to build together, and we like to learn together. Our entire team and process are built around helping you grow and be successful. And we’d love to tell you more about the impact you could have at Scoop.
In this role, you will:
Architect, develop, and deploy infrastructure for large scale ETL pipelines with data processing frameworks
Productionizing machine learning - from research into fault-tolerant, production-scale deployments
Manage data workflows
Work closely with the Data Science, Analytics, Product and Platform teams to understand business needs and create a data platform that serves business needs
Tech Lead projects and mentor team members
Potential growth into Management
You should:
5+ years or equivalent experience
Be proficient in Python and/or Scala (Scala preferred)
Experience designing and operating distributed systems
Emphasis in high code quality, high code clarity, automated testing, and engineering best practices
Be able to clearly communicate complex technical concepts

Preferred Qualifications:
Mobility/Transportation domain knowledge
Worked with open sourced projects like Spark, Kafka or Airflow
Life @ Scoop

Founded in 2015 and based in downtown SF, our team mixes technology and elbow grease every day, with one statistic in our crosshairs: 80% of Americans drive alone to work. At Scoop, we envision a world where commuters feel empowered — starting with a choice to make their commute a meaningful part of their day. We embody that same spirit within our own culture, empowering every team member to make this the most meaningful experience of their career.

Walk into Scoop and you’ll find a furry, tail-wagging welcoming committee. In many ways these fluffy faces exemplify the energy that flows through our office. They are a reminder that while we’re focused and driven, we shouldn’t take ourselves too seriously. They also help bridge the gap between our homes and our workplace, just like a Scoop carpool.

The atmosphere overall is dynamic and unique. It’s influenced by our backgrounds at successful startups, big tech companies, and premier consulting firms — blended and crafted into what feels natural and right for this company. It plays out in our balance of scrappy and strategic, frameworks and fast thinking.

At Scoop, we’re all united by our desire to change the way people get to work — and committed to enjoying the journey together along the way.",4.7,"Scoop
4.7","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
43,Data Scientist,$143K-$194K (Glassdoor est.),"Formation provides personalization for the largest enterprise businesses in the world. We work with high volume data streams to deliver tailored experiences and orchestrate physical and digital exchanges into a seamless journey. Our Data Science Team is transforming the way people engage across multiple industries.

You'll collaborate closely with engineers and share responsibility throughout the product life-cycle. You'll work in small, self-sufficient teams with a common goal: deliver excellent data science solutions anchored in a culture of quality, delivery, and innovation.

As a Data Scientist at Formation you're capable of working in an agile data science environment to generate and test hypotheses quickly. You're also passionate about improving, optimizing, and developing new reinforcement learning (RL) strategies to enhance the value of our platform.

Key Responsibilities:
Apply RL and statistical analysis to complex, real-world problems through massive data sets
Independently design, test, and productionize RL-based experimentation to refine customer strategies
Collaborate with colleagues in product and customer success roles, sharing responsibility throughout the product life-cycle
Ability to explore an unfamiliar and large data sets with big data tools such as Hive or Spark
Present methodology and results to external stakeholders and Fortune 500 clients
Skills and Experience:
Minimum 2 years experience as a Data Scientist, prior software development experience is a plus
Master's or Ph.D. in a relevant technical field (e.g. Computer Science, Mathematics, Statistics, Physics)
Prior experience with RL frameworks such as TensorFlow or Vowpal Wabbit, and Spark is a plus
Machine learning knowledge with a focus on contextual bandits, reinforcement learning, recommender systems, knowledge of common Data Science concepts related to e-commerce (e.g. lifetime value, net incremental revenue, churn) is a plus
Demonstrated ability to communicate and collaborate with peers
Demonstrated skills in result-driven problem solving
About Formation

Formation is the global leader in developing scalable solutions for individualized offers. We drive business results by building and deepening the relationship between big brands and their customers.

We use artificial intelligence (AI) and machine learning (ML) algorithms to constantly analyze an audience and fine-tune offers. Our approach enables offers to become smarter and more effective with each customer interaction, resulting in a better experience.

Formation strongly believes differing perspectives + passionate discourse achieve the greatest outcomes. We give our whole selves and we are building a team we can learn from. We are committed to inclusion and diversity and we are an equal opportunity employer. All applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

Also, we are thrilled to be named one of the Top 50 startups by LinkedIn! Every member of our team makes Formation a special place to work and grow. Come join us and see for yourself!",3.0,"Formation
3.0","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
44,Staff Machine Learning Engineer,$143K-$194K (Glassdoor est.),"Join the Mobile Future with Tapjoy

Data Science is pretty much our business - we drive conversions. Given our massive scale, relatively modest improvements can have an outsized impact.

If you're looking to be a point of influence on a celebrated team (*not* just another in a giant machine), a thought leader & mentor, and implement cutting edge machine learning tools -- this gig is for you.

Responsibilities
Experiment and improve machine learning models for the recommendation/ad optimization system.
Inform bidding strategy and data engineering architecture.
Understand various ad-optimization algorithms (CTR prediction, eCPM optimization, user targeting and segmentation, RTB optimization, Exploration/Exploitation Algos)
Competencies
Solid coding skills in SQL and in a scripting language like Python. Packages: scikit-learn & TensorFlow. Scaling GPU clusters to train deep neural networks.
Experimental Design.
Deep expertise in recommendation systems, classification models, class imbalance, model calibration.
Experience with BigQuery or PySpark or another modern method to access data
Skills > credentials.
Bonus:
Domain and/or marketplace knowledge
Tapjoy is an equal opportunity employer. We believe that diversity and inclusion lead to stronger, more innovative teams and better business results; we want to draw from the broadest talent pool possible and encourage qualified applicants. Tapjoy does not discriminate on the basis of sex, race, ethnicity, color, age, sexual orientation, gender (including identity and expression), disability (mental or physical), religion, national origin, citizenship, marital status, military or veteran status, or any other protected classification protected by applicable law; we will provide reasonable accommodations for qualified individuals with disabilities, and pursuant to applicable fair chance ordinances, we will consider for employment qualified applicants with arrest and conviction records.

For more information, please visit www.tapjoy.com.

]]>",3.5,"Tapjoy
3.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost"
45,Machine Learning Engineer,$143K-$194K (Glassdoor est.),"About Alpha Health
We’re on a mission to remedy the financial complexity crippling healthcare in America.

Our aim is to organize and use all healthcare information to reduce the cost of care and improve the patient experience.

As the first Unified Automation company for healthcare, we use the same machine learning approaches that made driverless cars possible to provide health systems with a single solution for revenue cycle management. Alpha Health’s Unified Automation brings together the best of people, data and technology to efficiently, accurately and autonomously navigate the complex state of medical reimbursement in the United States.

We are growing rapidly:
- - The contracting process in healthcare typically averages nine months. Yet, in less than 12 months time, the team has landed multiple provider clients of all sizes across the US.
The team has also deployed at several of these customers, providing meaningful and measurable value within 90 days.

We’ve built a cross-functional skill set deep into the DNA of the company. We have technology experts from the top Silicon Valley technology companies (Google, Facebook, etc) and machine learning PhD programs (Stanford, etc). We also have senior leaders from the frontlines of healthcare with decades of experience leading teams of medical billers at some of the most prominent healthcare institutions in the US. And we have a deep bench of talent from healthcare services firms like the Advisory Board, Optum and Triage Consulting.

Our founding team includes Silicon Valley leaders who have founded or been founding team members of multiple companies with successful exits, some in excess of $350 million.

We are expanding our team to support our work with existing customers as well as new customers. If you love to execute, we’d love to hear from you.

We are looking for a Full-time Machine Learning Engineer to join our South San Francisco-based team.

What You'll Do
· Participate in developing state-of-art machine learning solutions to address large scale healthcare problems
· Design and build pipelines that collect, preprocess, and deliver data with a measurable quality
· Write production-ready software with fast and efficient algorithms
Skills & Qualifications
· 3+years of experience in machine learning or data engineering with a growth mindset
· Strong proficiency in one or more programming languages such as Python and C++
· Hands-on development experience with big data technologies such as SQL and AWS/Cloud Platform
· Knowledge of machine learning frameworks such as Scikit-Learn, Keras, Tensorflow
· Full-stack development experience for an end to end machine learning solution preferred
· Experience with Natural Language Processing or Computer Vision a plus
· Strong communication and interpersonal skills with meticulous attention to detail
What We Offer
· Work with an experienced and complementary founding team consisting of serial entrepreneurs, AI experts and healthcare industry experts
· Competitive salary and equity grants
· Full employer coverage for health, dental and vision insurance
· Full employer coverage for life insurance
· 401k Plan
· Free membership to One Medical (Concierge Clinic) for you and your family
· Flexible Vacation Policy
· Free lunch and snacks provided in the South San Francisco office
· Free gym in the South San Francisco office
· Plenty of free parking around the South San Francisco office; Caltrain and BART accessible
· Comfortable work setup in the South San Francisco office with an ergonomic chair, a standing desk and views of the bay",5.0,"Alpha Health
5.0","South San Francisco, CA","South San Francisco, CA",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
46,"Senior Manager, Product Management for Data Capture",$143K-$194K (Glassdoor est.),"Location: San Francisco, CA- United States
Job ID: 20WD41009

Position Overview
Autodesk is seeking a passionate and experienced product leader to join our Data & Analytics group. The Data Platforms & Insights group is dedicated to building out a world-class secure data platform that is used daily by thousands of people across Autodesk to make data-driven decisions about product design, power machine learning efforts, advance experimentation, deliver delightful customer experiences and more.

As Senior Manager of the Product Management leading Data Capture/Ingestion Platform you will set the vision and strategy for our data ingestion platform and own a platform roadmap that captures and balances the needs of a broad set of technical and non-technical users including designers, engineers, product managers, analysts, data scientists, and executives.

You’ll work closely with colleagues in Engineering, Operations, UI and Data Science, as well as stakeholders in various functions and organizations across Autodesk to understand requirements, drive execution and ensure adoption of the platform. You’ll also play a key role ensuring that we maintain privacy and security standards respecting and safeguarding our customers’ data.

You’ll work in a fast-paced, cross-functional and highly collaborative environment alongside forward-thinking colleagues who are equally excited and passionate about the value that a modern data and analytics platform can bring to the business and to our customers.

Responsibilities
Drive the vision, strategy, and roadmap of our data capture/ingestion platform aligned to user needs, platform strategy and overall business priorities and objectives
Work with users and stakeholders across various data sets and their ingestion mechanisms into the platform
Work with teams, users and stakeholders across the company to deeply understand their problems and to ingest data at scale
Partner with platform architects and engineering teams to deliver compelling solutions that meet the demands of stakeholders and users
Work with the engineering team, to streamline the process, ingesting the data from multiple sources/platforms
Facilitate communication with users and stakeholders ensuring they are informed about roadmap progress and what they can expect from the data platform
Minimum Qualifications
Bachelor’s degree in a technical field (Computer Science or Information Systems preferred) or equivalent and demonstrated practical experience. MBA is preferred
5 years of product management experience
Knowledge of APIs, SDKs and able to draft the strategy for scaled execution
Experience defining product vision and strategy, identifying user personas and use cases, and documenting requirements and specifications
Experience in one or more areas: cloud infrastructure, big data, distributed computing, BI and visualization tools, machine learning tools and frameworks
Experience with AWS technologies preferred
Experience with open source technologies such as Hadoop, Spark, Presto, Hive or similar
Able to communicate and work effectively with engineering teams and stakeholders
Comfortable working in a fast-paced, agile and collaborative cross-functional environment
Able to influence decision-making at all levels
Good communicator and storyteller, able to explain technical topics to a non-technical audience",4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
47,Machine Learning Engineer - Product,$143K-$194K (Glassdoor est.),"#TeamNextdoor


Nextdoor is the neighborhood hub for trusted connections and the exchange of helpful information, goods, and services.

Building connections in the real world is a universal human need. That truth, and the reality that neighborhoods are one of the most important and useful communities in our lives have been guiding principles for Nextdoor. Today, neighbors rely on Nextdoor in neighborhoods around the world in the United States, the United Kingdom, Germany, France, the Netherlands, Italy, Spain, Sweden, Denmark, Australia and Canada, with many more to come.

Meet your Future Neighbors


At Nextdoor, machine learning is starting to transform our product through personalization, driving major impact across different parts of our platform including our newsfeed, our notifications, and our ads relevance. Our machine learning team is lean but hungry to drive even more impact and make Nextdoor the neighborhood hub for local exchange. We are scrappy and believe that ML will be an integral part of making Nextdoor valuable to our members. We also believe that ML should be ethical and encourage healthy habits and interaction, not addictive behavior. We are looking for great engineers who believe in the power of local community to empower our members to make their communities great places to live.

The Impact You'll Make


You will be part of a scrappy and impactful team building data-intensive products, working with data and features, building machine learning models, and sharing insights around data and experiments. Some of the current products / projects you could work on include the newsfeed, ad relevance, search, notifications, trust and safety, and neighborhood vitality. You will build critical decision-making models for the product, enhancing the relevance and value of our products. Finally, you will help build the foundational patterns that ML engineers will use for years to come as we ramp up our effort to introduce machine learning into our platform.
Collect and gather datasets to build machine learning (ML) models that make real-time decisions for the Nextdoor platform
Analyze datasets and and use important features to build low-latency models for decisions that need to be made quickly
Deploy ML models into production environments and integrate them into the product
Run and analyze live user-facing experiments to iterate on model quality by measuring impact on business metrics
Collaborate with other engineers and data scientists to create optimal experiences on the platform
What You'll Bring to The House
B.S. in Computer Science, Applied Math, Statistics, Computational Biology or a related field
5+ years of industry/academic experience applying machine learning at scale.
Proven engineering skills. Experience writing and maintaining high-quality production code. Python experience a plus.
Ability to work with and analyze large amounts of data.
Ability to succeed in a dynamic startup environment.
Bonus Points
Experience building ML products at large consumer-facing companies
Experience building ML products related to ads relevance or newsfeed products",4.2,"Nextdoor
4.2","San Francisco, CA","San Francisco, CA",201 to 500 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
